keyword,score
디스플레이,9.099048398902669
올인원 디스플레이,6.728192354217266
이라고 밝혔다,5.382553883373813
밝혔다 이번,5.382553883373813
이번 행사,5.382553883373813
이를 통,5.382553883373813
평가를 받고,5.382553883373813
몰입감 있는,5.382553883373813
디스플레이의 분기,4.983846188309085
디스플레이 출시,4.983846188309085
운전자는 스티어링,4.983846188309085
장비,4.9100403035718045
삼성,4.877084326002347
스마트폰,4.667431045080633
기존,4.2582344247403965
시장 점유율,3.9870769506472685
개최한다고 밝혔다,3.9870769506472685
이날 오후,3.9870769506472685
인치 대화면,3.9870769506472685
원에 거래되고,3.9870769506472685
