date,count
2025-08-17,1
2025-08-18,0
2025-08-19,0
2025-08-20,0
2025-08-21,0
2025-08-22,0
2025-08-23,0
2025-08-24,0
2025-08-25,0
2025-08-26,0
2025-08-27,0
2025-08-28,0
2025-08-29,0
2025-08-30,0
2025-08-31,0
2025-09-01,0
2025-09-02,0
2025-09-03,0
2025-09-04,0
2025-09-05,34
2025-09-06,0
2025-09-07,1
2025-09-08,20
2025-09-09,9
2025-09-10,19
2025-09-11,29
2025-09-12,29
2025-09-13,0
2025-09-14,0
2025-09-15,28
2025-09-16,53
2025-09-17,53
2025-09-18,55
2025-09-19,13
2025-09-20,172
2025-09-21,1
2025-09-22,78
2025-09-23,0
2025-09-24,0
2025-09-25,12
2025-09-26,158
